timestamp,distance_km,start_battery,end_battery,duration_minutes,avg_speed_kmh,temperature_celsius,traffic_condition,battery_degradation
2024-01-01 08:00:00,74.5,84,56,105.97335224633946,42.18041521994415,18.1,low,0.1
2024-01-01 08:01:12,22.7,54,42,18.839866637145505,72.29350537517189,18.2,medium,0.15
2024-01-01 08:02:24,19.4,53,45,16.94049811409717,68.7110846540792,26.4,heavy,0.12
2024-01-01 08:03:36,21.9,65,55,21.749145416243024,60.416166927582296,29.5,low,0.2
2024-01-01 08:04:48,27.1,81,66,32.187947235719804,50.51580295234191,18.5,low,0.12
2024-01-01 08:06:00,9.6,74,70,12.428060431827822,46.346733117332164,16.8,medium,0.19
2024-01-01 08:07:12,75.5,75,37,113.68598019693925,39.84660194821419,25.2,heavy,0.19
2024-01-01 08:08:24,87.4,92,56,127.95118805670978,40.9843791186666,23.9,heavy,0.1
2024-01-01 08:09:36,28.0,50,38,45.548135847501484,36.884056147210146,19.4,low,0.1
2024-01-01 08:10:48,27.7,80,68,20.795490126338667,79.92117473081257,25.2,medium,0.19
2024-01-01 08:12:00,64.8,82,53,53.673273744485584,72.4382868559318,18.0,low,0.14
2024-01-01 08:13:12,38.5,71,57,76.34123621493369,30.258875995881812,25.7,heavy,0.14
2024-01-01 08:14:24,88.9,85,51,123.07773708343758,43.33846336794399,34.9,medium,0.2
2024-01-01 08:15:36,96.4,68,31,188.35411780041127,30.708115477087652,27.7,heavy,0.21
2024-01-01 08:16:48,78.6,62,26,76.43600053835436,61.69867558198033,18.3,low,0.16
2024-01-01 08:18:00,72.8,93,61,54.973203925995506,79.45689332352117,17.0,heavy,0.1
2024-01-01 08:19:12,71.5,55,19,100.59341570117006,42.64692644242421,18.5,low,0.18
2024-01-01 08:20:24,31.8,77,67,54.22432204431041,35.187161924142494,22.1,low,0.1
2024-01-01 08:21:36,88.0,70,31,80.47114031222873,65.61358493881849,22.7,medium,0.14
2024-01-01 08:22:48,99.1,90,39,118.93856142522631,49.99219705325005,29.9,medium,0.15
2024-01-01 08:24:00,24.2,88,79,27.272368231731182,53.2407009051238,25.2,heavy,0.14
2024-01-01 08:25:12,20.5,51,42,23.05744157657767,53.34503378941508,25.7,heavy,0.21
2024-01-01 08:26:24,30.7,58,43,51.9200280157178,35.47763879176586,23.0,low,0.1
2024-01-01 08:27:36,37.7,76,63,32.2150840238877,70.21555487245392,29.0,low,0.18
2024-01-01 08:28:48,22.2,90,78,29.174395245346137,45.65647338353925,29.9,heavy,0.2
2024-01-01 08:30:00,69.1,74,50,79.99760415680664,51.82655210365115,33.3,medium,0.1
2024-01-01 08:31:12,44.0,65,51,56.4484176547112,46.76836144723473,20.3,heavy,0.1
2024-01-01 08:32:24,50.1,67,42,42.92101833849135,70.03561696261607,16.8,medium,0.1
2024-01-01 08:33:36,35.4,52,36,41.76775006532762,50.852631436405325,29.7,low,0.1
2024-01-01 08:34:48,59.6,58,32,56.89414645135349,62.853566193450256,18.5,medium,0.1
2024-01-01 08:36:00,43.3,72,53,38.492636633968274,67.49342802117548,35.0,low,0.12
2024-01-01 08:37:12,71.3,93,69,84.83519983013316,50.427181271051474,24.4,low,0.1
2024-01-01 08:38:24,58.1,68,43,59.69031691075016,58.40143226601257,27.2,low,0.1
